;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
2824;11;8;37.9550855775,-103.071704571;Bent;Colorado
2825;47;5;35.5123637272,-93.8906143781;Franklin;Arkansas
2826;75;22;29.3806620653,-89.4819150635;Plaquemines;Louisiana
2827;1;55;43.9695394798,-89.7703977477;Adams;Wisconsin
2828;85;45;33.9161721803,-80.382316033;Sumter;South Carolina
2829;5;12;30.237646533,-85.6326228076;Bay;Florida
2830;195;21;37.4690483094,-82.3958631537;Pike;Kentucky
2831;17;23;44.499782046,-70.7565745217;Oxford;Maine
2832;129;28;32.0176929287,-89.506677525;Smith;Mississippi
2833;7;20;37.2288385526,-98.684790626;Barber;Kansas
2834;103;22;30.4078429457,-89.9546332243;St. Tammany;Louisiana
2835;111;12;27.3808664203,-80.4456030776;St. Lucie;Florida
2836;157;21;36.8834465874,-88.3293805253;Marshall;Kentucky
2837;87;42;40.610413019,-77.6170419931;Mifflin;Pennsylvania
2838;153;20;39.785240911,-101.075705109;Rawlins;Kansas
2839;3;12;30.331070985,-82.2845872684;Baker;Florida
2840;195;48;36.2774544717,-101.354539211;Hansford;Texas
2841;71;48;29.7082609899,-94.6713769479;Chambers;Texas
2842;61;16;46.2369933896,-116.426326116;Lewis;Idaho
2843;133;13;33.5787842008,-83.1666552038;Greene;Georgia
2844;149;27;45.5861252834,-96.0003022919;Stevens;Minnesota
2845;111;37;35.6816924709,-82.0493124426;McDowell;North Carolina
2846;123;21;37.5457980664,-85.6979139347;Larue;Kentucky
2847;107;46;45.064501565,-99.9572518743;Potter;South Dakota
2848;95;38;48.6855411394,-99.2457570613;Towner;North Dakota
2849;61;39;39.1955341757,-84.5427676729;Hamilton;Ohio
2850;185;20;38.0309985368,-98.7174450154;Stafford;Kansas
2851;47;49;40.1247748425,-109.51864842;Uintah;Utah
2852;11;51;37.3723568684,-78.8125507413;Appomattox;Virginia
2853;87;5;36.0109653302,-93.7245618667;Madison;Arkansas
2854;205;21;38.1962558627,-83.4210754055;Rowan;Kentucky
2855;125;20;37.1925238004,-95.7428780841;Montgomery;Kansas
2856;155;47;35.7846556198,-83.5241923117;Sevier;Tennessee
2857;23;4;31.525961257,-110.846516905;Santa Cruz;Arizona
2858;87;19;40.9879710088,-91.5445322832;Henry;Iowa
